model,cv_acc_mean,cv_f1_mean,cv_auc_mean,test_acc,test_f1,test_auc,round,cv_f2_mean,test_recall,test_f2,decision_threshold
stacking,0.729623054817722,0.7222515902767368,0.7959516768729176,0.562886898259413,0.6886283461299024,0.7930253902443196,stacking_ensemble,0.7106273046838136,,0.8368427688816038,
xgboost,,,,0.5813123588959289,0.6961577083663654,0.7928817338928035,round_2_tuned,0.7085463217779578,0.9695274547328132,0.8379134860050891,0.1941993832588195
random_forest,,,,0.5822591216954337,0.6964115592251509,0.7928391918375949,round_2_tuned,0.7044056309749583,0.968496982187546,0.8375983500114582,0.1995666765768199
random_forest,0.7303617529789946,0.7199877986552583,0.7952770508059122,0.7116014856893161,0.7309417040358744,0.7925362202633687,round_1,,,,
hist_gradient_boosting,,,,0.5855363775398733,0.6978497478099284,0.7925162859686712,round_2_tuned,0.7063837929603555,0.9674665096422788,0.8379660325393992,0.2090660300175857
hist_gradient_boosting,0.7297131189382338,0.7172210286902219,0.7952237125633671,0.70198820187896,0.7308602999210734,0.7922247721050746,round_1,,,,
xgboost,0.7291366105318001,0.7170791725738466,0.7946259099117229,0.704027383293278,0.7297153498270816,0.7922180778315493,round_1,,,,
mlp,0.7293527748088598,0.7160987682000457,0.7949675451117542,0.695506518097735,0.7306230268668256,0.7917267223983857,round_1,,,,
mlp,,,,0.5492680795280751,0.6837667978130908,0.7915947253283344,round_2_tuned,0.7105375404933229,0.984984542911821,0.8374217772215269,0.1504411308926135
logistic_regression,0.7252630028461035,0.7081834125164017,0.7877637187712331,0.7011870948947637,0.7285837136998081,0.7846098503126491,round_1,,,,
logistic_regression,,,,0.5387080329182142,0.6788683836949909,0.7845853859786563,round_2_tuned,0.6815133741484969,0.9855733843662594,0.8347255816273097,0.1563198185938564
